school_urn,school_name,city,school_type,status,phase,metadata_json
100001,Oak Academy,London,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-06-15""}"
100002,Elm Community School,Manchester,Maintained,Open,Primary,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2022-11-20""}"
100003,Birch College,Birmingham,Academy,Open,Secondary,"{""ofsted_rating"": ""Requires Improvement"", ""last_inspection"": ""2024-01-10""}"
100004,Cedar Primary,Leeds,Maintained,Open,Primary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-09-05""}"
100005,Willow Park School,Bristol,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-03-22""}"
100006,maple grove primary,SHEFFIELD,maintained,Open,primary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-07-01""}"
100007, Ash Valley School ,liverpool,Academy,open,Secondary,"{""ofsted_rating"": ""Inadequate"", ""last_inspection"": ""2024-02-28""}"
100008,Pine Hills Acad.,London,Acad,Open,Sec,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-11-15""}"
100009,Rowan Free School,Nottingham,Free School,Open,,"{""ofsted_rating"": null, ""last_inspection"": null}"
100010,Hazel Grammar,,Academy,Open,,"{""ofsted_rating"": ""Good""}"
100011,Ivy Technical College,,N/A,Unknown,Secondary,
100001,Oak Academy,London,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-06-15""}"
100005,Willow Park Academy,Bristol,Academy,Open,Secondary,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2024-03-01""}"
100012,Sycamore High,Newcastle,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-05-20""}"
100013,Poplar Lane Primary,Oxford,Maintained,Open,Primary,"{""ofsted_rating"": ""Outstanding"", ""last_inspection"": ""2022-09-14""}"
100014,Yew Tree School,Cambridge,Academy,Open,All-through,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-08-30""}"
100015,Laurel Park Academy,Bath,Academy,Open,Secondary,"{""ofsted_rating"": ""Requires Improvement"", ""last_inspection"": ""2024-01-22""}"
100016,Holly Cross School,York,Maintained,Open,Primary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-04-11""}"
100017,Juniper Academy,Plymouth,Academy,Open,Secondary,"{""ofsted_rating"": ""Good"", ""last_inspection"": ""2023-12-05""}"
100018,Alder Community School,Coventry,Maintained,Open,Primary,"{""ofsted_rating"": ""Inadequate"", ""last_inspection"": ""2024-02-15""}"
